entries, counter, timer, swaps
100,421.0,0.000612600,924.0
1000,7604.0,0.010354800,15610.0
2000,18871.0,0.024727600,36877.0
500,3070.0,0.004359300,6576.0
5000,61161.0,0.079449050,116166.0
10,10.0,0.000030600,32.0
