entries, counter, timer, swaps
100,410.0,0.000599350,913.0
100,398.0,0.000605450,901.0
1000,7634.0,0.010417900,15640.0
1000,7599.0,0.010350800,15605.0
2000,18773.0,0.024577150,36779.0
2000,19202.0,0.025145800,37208.0
500,3059.0,0.004334650,6565.0
500,3053.0,0.004333150,6559.0
5000,61113.0,0.077864500,116118.0
5000,61902.0,0.079683950,116907.0
10,11.0,0.000030700,33.0
10,9.0,0.000030200,31.0
