list size, steps taken, cpu time,swaps
10,45,0.0000376,25
10,45,0.00003685,23
100,4950,0.00239765,2409
100,4950,0.0024847,2504
500,124750,0.0602801,61764
500,124750,0.06055465,61028
1000,499500,0.23815655,242104
1000,499500,0.2374419,244238
2000,1999000,0.9418122,941478
2000,1999000,0.94652295,936257
5000,12497500,5.76709845,5305769
5000,12497500,5.7127564,5323900
