list size, steps taken, cpu time
10,22,0.000062
10,23,0.00006285
100,540,0.00085845
100,540,0.00083885
500,3853,0.0051759
500,3856,0.0053775
1000,8708,0.0111303
1000,8704,0.01108445
2000,19404,0.02431245
2000,19414,0.02434985
5000,55220,0.06683375
5000,55217,0.066335
10000,120434,0.1512792
10000,120467,0.1404084
